cbsa_code,bls_msa_name,annual_rent,median_household_income,population,log_population,mean_occ_wage,median_occ_wage,std_occ_wage,mean_affordability_ratio,median_affordability_ratio,std_affordability_ratio,mean_loc_quotient,share_high_lq,mean_jobs_1000,emp_share_soc_35,emp_share_soc_41,emp_share_soc_29,emp_share_soc_25,emp_share_soc_11,emp_share_soc_43,emp_share_soc_53,emp_share_soc_13,metro_cluster
34740,"Muskegon-Norton Shores, MI",11724,60829,177428,12.086320171803145,60821.596638655465,51325.0,31709.405371295932,0.2289683699780654,0.22845536604117428,0.08340026739778496,1.8103781512605042,0.36134453781512604,3.6757605042016808,0.12479414455626715,0.11399817017383349,0.06020128087831656,0.04958828911253431,0.05434583714547118,0.09826166514181153,0.09204025617566332,0.036596523330283626,2
13020,"Bay City, MI",11712,64694,102651,11.539090164240836,59355.74585635359,51380.0,30010.263987167742,0.23756259341739705,0.22794861813935383,0.09250244389114434,1.3288333333333333,0.45,4.677894444444444,0.13038831492696829,0.10936943355895974,0.059850374064837904,0.034912718204488775,0.055575347345920914,0.12076950480940506,0.09868186676166726,0.03954399714998219,2
47300,"Visalia, CA",16608,69880,483546,13.088901728957033,69682.72471910113,57800.0,33739.05100884621,0.28102812130995497,0.28734059422726843,0.0995703760416491,1.5866005665722378,0.24362606232294617,2.70128328611898,0.08159743621348453,0.07685196598052509,0.04671514852705534,0.07981018119068162,0.043202267964994455,0.0921360778996672,0.11173425366695428,0.03420436336743498,4
23540,"Gainesville, FL",16524,61949,360881,12.79630354308265,62085.66197183099,53960.0,30423.06334655074,0.31221355484200064,0.3062268346923647,0.1107693634976559,1.2526478873239437,0.23380281690140844,2.553070422535211,0.1048951048951049,0.08784965034965035,0.11115967365967366,0.04742132867132867,0.06592365967365968,0.1502039627039627,0.06847319347319347,0.05842074592074592,4
30980,"Longview, TX",13092,65711,295490,12.596390274308126,59294.489795918365,48820.0,33220.97461900525,0.2718848956213962,0.2681687832855387,0.11041961855542987,1.4910355029585798,0.3224852071005917,2.7647100591715974,0.09271221908834501,0.09889909926303339,0.05768355927577109,0.06523519243017013,0.07242289145664635,0.12291875170594123,0.09780729687926486,0.03912291875170594,4
31540,"Madison, WI",17244,89714,707606,13.469642720598692,74661.59633027524,65250.0,39698.541171688914,0.2794289577609335,0.26427586206896553,0.11229344361927263,1.3309328358208956,0.3302238805970149,1.83267723880597,0.08241468498104111,0.08377068528237451,0.07086357130301585,0.06358134746252166,0.05978956884212641,0.11930291540064787,0.07154157145368255,0.08216357381412752,1
39460,"Punta Gorda, FL",22116,72868,212122,12.264916859831924,62440.04651162791,52970.0,34865.00085439933,0.4241248507220265,0.41751935057579764,0.15363019862115213,1.3870422535211266,0.4507042253521127,4.116408450704225,0.15068214212991243,0.1301160659743433,0.07758094074526573,0.016289961311341885,0.0570148645896966,0.13459580533496232,0.09000203624516392,0.04337202199144777,3
30300,"Lewiston, ID-WA",14052,77382,65370,11.087818716606776,61076.60130718954,53010.0,27438.923447392055,0.2672249460946144,0.2650820599886814,0.09276606640263636,1.3172549019607842,0.32679738562091504,5.200424836601307,0.10770617395223074,0.09598918431726003,0.06489409643983776,0.047769265434880574,0.05903560162235241,0.15457413249211358,0.09914375844975214,0.04100946372239748,2
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",19524,88800,2151715,14.581775756549293,68972.4071082391,58210.0,36945.01228677012,0.34031528364723757,0.3354062875794537,0.12962033857238392,1.0785,0.24666666666666667,1.642895,0.09584300953896542,0.08084527631542426,0.06619912474672243,0.04262464957486376,0.07819916175531767,0.1357752838096648,0.10985076283966952,0.06644893276463458,1
28420,"Kennewick-Richland, WA",16320,89573,319428,12.674287175291449,81240.888252149,72040.0,39115.22721486877,0.24145408550708364,0.22654081066074402,0.09667964652514106,1.5260171919770775,0.3151862464183381,2.6767249283667622,0.09006734006734007,0.08627946127946128,0.05260942760942761,0.06565656565656566,0.04158249158249158,0.10505050505050505,0.09915824915824915,0.05707070707070707,4
